date,a_instance_count,a_cpu_usage,a_mem_usage,b_instance_count,b_cpu_usage,b_mem_usage,c_instance_count,c_cpu_usage,c_mem_usage,d_instance_count,d_cpu_usage,d_mem_usage,e_instance_count,e_cpu_usage,e_mem_usage,f_instance_count,f_cpu_usage,f_mem_usage,g_instance_count,g_cpu_usage,g_mem_usage,h_instance_count,h_cpu_usage,h_mem_usage
2019-05-05 16:48:00,654636.3889,4108.896506,3115.324154,573700.0944,4863.670361,4463.211626,467174.4667,4567.810572,2636.689415,569342.2833,3852.744696,3089.10327,499847.1833,3297.128813,2662.590656,673010.35,6963.293447,3721.93287,502490.6167,5169.31803,2781.331612,515684.7611,5528.965368,3398.462283
2019-05-05 16:51:00,653990.1667,4117.211997,3118.305534,571879.25,4835.789085,4464.193952,467085.5667,4643.284356,2644.4205,571315.5778,3866.508123,3105.718174,503060.4167,3496.345564,2669.992008,680809.9333,6898.575051,3738.387198,499571.9,5063.216014,2730.457391,508521.6611,5489.386249,3389.104051
2019-05-05 16:54:00,654245.1278,4133.706836,3122.983449,570280.0556,4751.899622,4453.913701,484884.1889,4632.825816,2664.38371,571918.3611,3802.550107,3096.477214,514930.3278,3350.660843,2670.813407,675400.7333,6821.035176,3733.139654,493632.5167,4978.121547,2668.038277,528134.8278,5459.927665,3391.827953
2019-05-05 16:57:00,653198.1444,4138.804125,3119.626711,570136.3222,4715.852242,4450.386128,482069.6333,4574.426376,2657.720142,568411.4556,3772.714419,3084.834957,498289.7278,3295.849632,2647.92913,688744.8278,6814.903306,3752.030248,499274.85,5033.9171,2694.973453,530384.1556,5408.189339,3378.430044
2019-05-05 17:00:00,654004.9778,4125.726538,3127.576192,566390.35,4848.429397,4429.916455,473230.2722,4702.639572,2670.650306,561758.7333,3800.919336,3082.569925,494301.95,2991.67072,2630.43803,695337.2722,6980.827794,3760.895132,500868.9722,5095.448724,2655.619735,521745.2222,5377.631658,3347.305737
2019-05-05 17:03:00,653645.1944,4121.581832,3122.185525,563848.9778,4838.565386,4426.262653,475817.2556,4658.103898,2675.129817,557413.8333,3775.65764,3062.541777,501210.8722,2945.171513,2638.148716,677514.5833,6931.281112,3745.646707,492124.0778,4968.579254,2608.42684,515381.7944,5328.72108,3337.000518
2019-05-05 17:06:00,649732.55,4085.243558,3100.913141,563040.3944,4816.612692,4426.634288,475984.1778,4537.425565,2682.247079,554994.1667,3751.727825,3055.198944,489950.0889,2788.119167,2619.038052,673370.4778,6853.962794,3752.444569,489563.2722,4854.139026,2590.44197,518730.1944,5362.282111,3341.090896
2019-05-05 17:09:00,648229.9444,4112.908869,3089.069769,560980.0444,4758.60253,4417.342204,469799.5222,4563.738374,2676.190914,563301.7944,3777.000482,3056.292911,474458.6056,2703.50312,2601.908253,692386.6389,6937.941464,3775.825547,493897.7278,4945.173677,2628.379517,517916.6167,5205.616878,3330.155761
2019-05-05 17:12:00,647395.6944,4115.329298,3081.149734,561079.6111,4742.091452,4422.850226,476969.8111,4622.99474,2688.738183,579801.3944,3848.296066,3077.932941,459917.0944,2677.546712,2592.030959,695617.0944,6979.951017,3784.179251,506602.5222,5060.901153,2692.611992,510383.6278,5125.871339,3336.536023
2019-05-05 17:15:00,647624.7833,4167.218545,3094.09357,558035.1944,4714.461853,4405.237488,479838.4611,4470.571955,2708.115809,593164.2278,3739.046818,3090.093304,457811.7278,2690.026695,2586.841018,694907.0944,6809.577629,3797.93837,511690.8556,5146.921251,2742.461059,494478.2556,5213.45443,3322.010316
2019-05-05 17:18:00,648950.0611,4129.715727,3076.664001,556928.1444,4708.124731,4401.542164,472314.8944,4400.449399,2695.838381,591494.3222,3749.944814,3091.868559,465793.1722,2765.601693,2599.325141,702198.3889,6876.619549,3816.208533,515351.0611,5252.834617,2786.894219,496425.05,5227.827757,3315.666884
2019-05-05 17:21:00,651398.1389,4090.052852,3069.002734,555873.7944,4706.899807,4404.001059,469819.1222,4316.263526,2692.364795,577695.5889,3762.085019,3091.617553,476801.9111,2926.566381,2620.620855,699800.35,6913.810897,3834.931346,519908.0389,5440.315928,2860.435851,510292.25,5284.893659,3324.725342
2019-05-05 17:24:00,654922.2722,4062.128453,3071.699926,554476.2333,4805.973903,4406.337515,481225.6389,4290.637053,2651.990749,570523.4833,3721.464891,3074.574839,496066.7444,3032.737601,2645.936449,699966.5111,7061.592277,3817.302797,505529.5,5417.214195,2784.046188,510745.5333,5298.499891,3320.787331
